Constraints(%),algorithm,NMI,RI,cost,runtime
0%,greedy,0.01619998,0.12322452,6.4807405,4.76E+07
0%,greedy,0.01619998,0.12322452,6.708204,3.39E+07
0%,greedy,0.016213795,0.12323139,6.244998,3.42E+07
0%,greedy,0.014443452,0.12179316,6.164414,3.39E+07
0%,greedy,0.014436563,0.12178972,6.164414,3.41E+07
0%,greedy,0.014436563,0.12178972,6,5.66E+07
0%,greedy,0.03204219,0.136263,6.8556547,3.61E+07
0%,greedy,0.014436563,0.12178972,6.0827627,2.69E+07
0%,greedy,0.016213795,0.12323139,6.6332498,2.70E+07
0%,greedy,0.016213795,0.12323139,6.164414,4.72E+07
0%,greedy,0.016227657,0.12323825,6.5574384,3.94E+07
0%,greedy,0.014436521,0.12178972,5.91608,4.96E+07
0%,greedy,0.016199915,0.12322452,6.244998,2.61E+07
0%,greedy,0.014436563,0.12178972,5.8309517,3.33E+07
0%,greedy,0.016213795,0.12323139,6.3245554,2.61E+07
0%,greedy,0.01619998,0.12322452,6.708204,2.61E+07
0%,greedy,0.014436563,0.12178972,6,2.61E+07
0%,greedy,0.016227657,0.12323825,6.3245554,2.61E+07
0%,greedy,0.014436563,0.12178972,6.164414,2.61E+07
0%,greedy,0.014436521,0.12178972,6.4031243,2.61E+07
0%,greedy,0.014443452,0.12179316,6.0827627,2.62E+07
0%,greedy,0.016206864,0.123227954,6.5574384,2.61E+07
0%,greedy,0.014436563,0.12178972,6.0827627,2.61E+07
0%,greedy,0.014443452,0.12179316,6.0827627,2.79E+07
0%,greedy,0.014436521,0.12178972,6.0827627,2.61E+07
0%,greedy,0.016213795,0.12323139,6.4807405,3.05E+07
0%,greedy,0.017984588,0.12467305,6.78233,2.60E+07
0%,greedy,0.016213795,0.12323139,6.5574384,2.61E+07
0%,greedy,0.014436563,0.12178972,6.164414,2.63E+07
0%,greedy,0.016213795,0.12323139,6.708204,2.64E+07
0%,greedy,0.016213795,0.12323139,6.164414,2.63E+07
0%,greedy,0.014443417,0.12179316,6.164414,6.17E+07
0%,greedy,0.016213795,0.12323139,6.244998,4.83E+07
0%,greedy,0.014443452,0.12179316,6,5.17E+07
0%,greedy,0.014443452,0.12179316,6.0827627,5.86E+07
0%,greedy,0.016213795,0.12323139,6.3245554,2.61E+07
0%,greedy,0.014443452,0.12179316,5.8309517,3.93E+07
0%,greedy,0.014436563,0.12178972,6.164414,3.92E+07
0%,greedy,0.016227657,0.12323825,6.6332498,4.14E+07
0%,greedy,0.014436563,0.12178972,6.244998,2.61E+07
0%,greedy,0.016213724,0.12323139,6.164414,2.65E+07
0%,greedy,0.014436563,0.12178972,6.4031243,2.61E+07
0%,greedy,0.016213795,0.12323139,6.708204,2.62E+07
0%,greedy,0.016213795,0.12323139,6.244998,2.62E+07
0%,greedy,0.016206864,0.123227954,6.4807405,2.65E+07
0%,greedy,0.016213793,0.12323139,6.164414,2.61E+07
0%,greedy,0.016206793,0.123227954,6.5574384,2.90E+07
0%,greedy,0.014443452,0.12179316,6,2.61E+07
0%,greedy,0.014436563,0.12178972,6.3245554,2.61E+07
0%,greedy,0.016227657,0.12323825,6.4031243,2.62E+07
0%,greedy,0.014436563,0.12178972,6.244998,2.61E+07
0%,greedy,0.014436563,0.12178972,5.91608,2.61E+07
0%,greedy,0.014436563,0.12178972,6,2.61E+07
0%,greedy,0.016193038,0.12322109,6.3245554,2.66E+07
0%,greedy,0.016227657,0.12323825,6.4031243,2.61E+07
0%,greedy,0.014436563,0.12178972,6.164414,2.60E+07
0%,greedy,0.014436521,0.12178972,6.0827627,2.61E+07
0%,greedy,0.017984588,0.12467305,6.78233,2.61E+07
0%,greedy,0.028127376,0.1431727,6.78233,2.62E+07
0%,greedy,0.014443452,0.12179316,5.91608,2.65E+07
0%,greedy,0.014436521,0.12178972,6.4807405,2.61E+07
0%,greedy,0.016206846,0.123227954,6.4031243,2.90E+07
0%,greedy,0.014443452,0.12179316,6.244998,2.61E+07
0%,greedy,0.016227657,0.12323825,6.5574384,3.23E+07
0%,greedy,0.016213795,0.12323139,6.4031243,2.62E+07
0%,greedy,0.016206846,0.123227954,6.3245554,2.60E+07
0%,greedy,0.016227657,0.12323825,6.3245554,2.61E+07
0%,greedy,0.016193038,0.12322109,6.164414,2.60E+07
0%,greedy,0.22516952,0.64271617,7.745967,2.98E+07
0%,greedy,0.016213795,0.12323139,6.3245554,2.61E+07
0%,greedy,0.016227657,0.12323825,6.3245554,2.80E+07
0%,greedy,0.016227657,0.12323825,6.4807405,2.62E+07
0%,greedy,0.016213724,0.12323139,6.4031243,2.61E+07
0%,greedy,0.016213795,0.12323139,6.3245554,2.62E+07
0%,greedy,0.22516952,0.64271617,7.745967,3.13E+07
0%,greedy,0.014436563,0.12178972,6.0827627,2.61E+07
0%,greedy,0.014436521,0.12178972,6.244998,2.74E+07
0%,greedy,0.016213724,0.12323139,6.164414,2.61E+07
0%,greedy,0.014436563,0.12178972,5.91608,2.62E+07
0%,greedy,0.016213795,0.12323139,6.4031243,2.81E+07
0%,greedy,0.014436563,0.12178972,6,2.61E+07
0%,greedy,0.014436521,0.12178972,6.0827627,3.59E+07
0%,greedy,0.016227657,0.12323825,6.4031243,2.61E+07
0%,greedy,0.014436521,0.12178972,6.0827627,2.60E+07
0%,greedy,0.016213795,0.12323139,6.6332498,2.62E+07
0%,greedy,0.016213724,0.12323139,6.78233,2.61E+07
0%,greedy,0.014443452,0.12179316,6.0827627,2.62E+07
0%,greedy,0.014443452,0.12179316,6.164414,2.61E+07
0%,greedy,0.016206846,0.123227954,6.5574384,2.60E+07
0%,greedy,0.016213795,0.12323139,6.3245554,2.61E+07
0%,greedy,0.014436563,0.12178972,6.164414,2.65E+07
0%,greedy,0.014436521,0.12178972,6.3245554,2.61E+07
0%,greedy,0.014436563,0.12178972,6.3245554,2.60E+07
0%,greedy,0.016227657,0.12323825,6.244998,2.59E+07
0%,greedy,0.014450408,0.121796586,6.244998,2.87E+07
0%,greedy,0.014436563,0.12178972,6.0827627,2.61E+07
0%,greedy,0.016227657,0.12323825,6.3245554,2.61E+07
0%,greedy,0.016227657,0.12323825,6.3245554,2.61E+07
0%,greedy,0.014443452,0.12179316,6.0827627,2.98E+07
0%,greedy,0.016213795,0.12323139,6.6332498,3.35E+07
0%,matching,0.01619998,0.12322452,6.4807405,5.18E+07
0%,matching,0.01619998,0.12322452,6.708204,3.37E+07
0%,matching,0.016213795,0.12323139,6.244998,3.44E+07
0%,matching,0.014443452,0.12179316,6.164414,3.58E+07
0%,matching,0.014436563,0.12178972,6.164414,5.49E+07
0%,matching,0.014436563,0.12178972,6,6.85E+07
0%,matching,0.03204219,0.136263,6.8556547,4.60E+07
0%,matching,0.014436563,0.12178972,6.0827627,2.71E+07
0%,matching,0.016213795,0.12323139,6.6332498,2.69E+07
0%,matching,0.016213795,0.12323139,6.164414,4.23E+07
0%,matching,0.016227657,0.12323825,6.5574384,4.58E+07
0%,matching,0.014436521,0.12178972,5.91608,6.32E+07
0%,matching,0.016199915,0.12322452,6.244998,2.60E+07
0%,matching,0.014436563,0.12178972,5.8309517,2.63E+07
0%,matching,0.016213795,0.12323139,6.3245554,2.60E+07
0%,matching,0.01619998,0.12322452,6.708204,2.61E+07
0%,matching,0.014436563,0.12178972,6,2.60E+07
0%,matching,0.016227657,0.12323825,6.3245554,2.60E+07
0%,matching,0.014436563,0.12178972,6.164414,2.61E+07
0%,matching,0.014436521,0.12178972,6.4031243,2.59E+07
0%,matching,0.014443452,0.12179316,6.0827627,2.62E+07
0%,matching,0.016206864,0.123227954,6.5574384,2.60E+07
0%,matching,0.014436563,0.12178972,6.0827627,2.60E+07
0%,matching,0.014443452,0.12179316,6.0827627,2.60E+07
0%,matching,0.014436521,0.12178972,6.0827627,2.61E+07
0%,matching,0.016213795,0.12323139,6.4807405,2.60E+07
0%,matching,0.017984588,0.12467305,6.78233,2.65E+07
0%,matching,0.016213795,0.12323139,6.5574384,2.60E+07
0%,matching,0.014436563,0.12178972,6.164414,2.60E+07
0%,matching,0.016213795,0.12323139,6.708204,2.67E+07
0%,matching,0.016213795,0.12323139,6.164414,2.60E+07
0%,matching,0.014443417,0.12179316,6.164414,5.02E+07
0%,matching,0.016213795,0.12323139,6.244998,4.28E+07
0%,matching,0.014443452,0.12179316,6,5.16E+07
0%,matching,0.014443452,0.12179316,6.0827627,5.11E+07
0%,matching,0.016213795,0.12323139,6.3245554,2.70E+07
0%,matching,0.014443452,0.12179316,5.8309517,2.62E+07
0%,matching,0.014436563,0.12178972,6.164414,5.64E+07
0%,matching,0.016227657,0.12323825,6.6332498,5.52E+07
0%,matching,0.014436563,0.12178972,6.244998,2.61E+07
0%,matching,0.016213724,0.12323139,6.164414,2.60E+07
0%,matching,0.014436563,0.12178972,6.4031243,2.60E+07
0%,matching,0.016213795,0.12323139,6.708204,2.62E+07
0%,matching,0.016213795,0.12323139,6.244998,2.60E+07
0%,matching,0.016206864,0.123227954,6.4807405,2.79E+07
0%,matching,0.016213793,0.12323139,6.164414,2.91E+07
0%,matching,0.016206793,0.123227954,6.5574384,2.59E+07
0%,matching,0.014443452,0.12179316,6,2.60E+07
0%,matching,0.014436563,0.12178972,6.3245554,2.59E+07
0%,matching,0.016227657,0.12323825,6.4031243,2.60E+07
0%,matching,0.014436563,0.12178972,6.244998,2.60E+07
0%,matching,0.014436563,0.12178972,5.91608,2.66E+07
0%,matching,0.014436563,0.12178972,6,2.62E+07
