Constraints(%),algorithm,NMI,RI,cost,runtime
0%,Greedy,0.08848882,0.5744585,2706.5964,1.97E+09
0%,Greedy,0.058551658,0.51421463,2615.8542,1.76E+09
0%,Greedy,0.051644456,0.50330955,2635.2744,1.67E+09
0%,Greedy,0.040681113,0.4612933,2701.6443,1.65E+09
0%,Greedy,0.086379856,0.568386,2611.3047,1.75E+09
0%,Greedy,0.08882526,0.5674283,2873.0198,1.68E+09
0%,Greedy,0.07702696,0.5701899,2532.0925,1.71E+09
0%,Greedy,0.06302145,0.55270195,3041.917,1.70E+09
0%,Greedy,0.066898346,0.5347384,2866.2092,1.72E+09
0%,Greedy,0.07718918,0.57168406,2565.3726,1.72E+09
0%,Greedy,0.07482811,0.56810206,2560.7776,1.78E+09
0%,Greedy,0.095135495,0.5561282,3009.2236,1.64E+09
0%,Greedy,0.080552205,0.5548246,2765.3125,1.64E+09
0%,Greedy,0.09080573,0.5684891,2666.7666,1.71E+09
0%,Greedy,0.08950189,0.56490034,2596.7134,1.69E+09
0%,Greedy,0.07689401,0.55729437,2529.135,1.77E+09
0%,Greedy,0.067675434,0.5196798,2808.762,1.68E+09
0%,Greedy,0.07723063,0.5591493,2591.4497,1.77E+09
0%,Greedy,0.09044346,0.54156154,2890.919,1.66E+09
0%,Greedy,0.07896492,0.5722881,2535.0432,1.71E+09
0%,Greedy,0.04096349,0.45999783,2678.9207,1.63E+09
0%,Greedy,0.062321957,0.52375704,2938.6245,1.68E+09
0%,Greedy,0.08556144,0.5741402,2884.1047,1.75E+09
0%,Greedy,0.08777963,0.572654,2748.3252,1.75E+09
0%,Greedy,0.09147732,0.5429506,2892.9807,1.66E+09
0%,Greedy,0.0908222,0.5802733,2640.5437,1.69E+09
0%,Greedy,0.08990948,0.56714696,2611.3005,1.68E+09
0%,Greedy,0.06962278,0.5349081,2971.0486,1.69E+09
0%,Greedy,0.08866037,0.57689846,2621.8901,1.69E+09
0%,Greedy,0.091163754,0.5693295,3104.8928,1.69E+09
0%,Greedy,0.087804906,0.5743974,2695.075,1.69E+09
0%,Greedy,0.09441056,0.567568,3153.53,1.69E+09
0%,Greedy,0.0900744,0.5654172,2771.514,1.68E+09
0%,Greedy,0.0635293,0.5317125,2767.6174,1.67E+09
0%,Greedy,0.0876142,0.56627536,2966.192,1.64E+09
0%,Greedy,0.090668395,0.5717789,2666.7666,1.64E+09
0%,Greedy,0.056948666,0.49521458,2697.3948,1.65E+09
0%,Greedy,0.087220654,0.5553567,2603.1392,1.75E+09
