Constraints(%),algorithm,NMI,RI,cost,runtime
0%,Greedy,0.013631846,0.50727814,2.4681544,8.62E+07
0%,Greedy,6.07E-05,0.5094937,2.3675506,6.29E+07
0%,Greedy,4.68E-05,0.5095182,2.4794447,4.02E+07
0%,Greedy,1.47E-04,0.50948143,2.3404357,2.56E+07
0%,Greedy,4.68E-05,0.5095182,2.4204702,3.35E+07
0%,Greedy,0.002871594,0.5103569,2.603307,2.55E+07
0%,Greedy,4.68E-05,0.5095182,2.493714,9635429
0%,Greedy,1.87E-04,0.5094692,2.3925426,9536676
0%,Greedy,2.30E-04,0.509457,2.406579,9629811
0%,Greedy,8.09E-05,0.5094937,2.3367527,9694866
0%,Greedy,9.31E-05,0.5094692,2.4340606,9745694
0%,Greedy,7.59E-05,0.5095059,2.469416,9626592
0%,Greedy,4.68E-05,0.5095182,2.5120096,9705783
0%,Greedy,2.30E-04,0.509457,2.3914804,9590622
0%,Greedy,7.59E-05,0.5095059,2.4765337,1.78E+07
0%,Greedy,6.07E-05,0.5094937,2.473437,9611956
0%,Greedy,1.87E-04,0.5094692,2.342053,1.07E+07
0%,Greedy,1.16E-04,0.5094692,2.4775324,9657435
0%,Greedy,4.68E-05,0.5095182,2.526819,1.83E+07
0%,Greedy,1.46E-04,0.5094692,2.4112816,9628204
0%,Greedy,1.12E-04,0.50948143,2.335888,9620619
0%,Greedy,1.47E-04,0.50948143,2.3793628,9523937
0%,Greedy,4.68E-05,0.5095182,2.3740635,9651500
0%,Greedy,1.12E-04,0.50948143,2.3571262,9483917
0%,Greedy,2.32E-05,0.5095304,2.455062,9612674
0%,Greedy,1.46E-04,0.5094692,2.581288,9642746
0%,Greedy,1.12E-04,0.50948143,2.3438454,9579744
0%,Greedy,4.68E-05,0.5095182,2.3898509,9695861
0%,Greedy,7.59E-05,0.5095059,2.3534472,9633820
0%,Greedy,1.47E-04,0.50948143,2.5456953,9598558
0%,Greedy,4.68E-05,0.5095182,2.4695005,9656486
0%,Greedy,1.99E-04,0.50948143,2.5100272,9579138
0%,Greedy,2.74E-04,0.5094448,2.5521703,9657214
0%,Greedy,0.010542987,0.5077906,2.4389799,9566871
0%,Greedy,1.54E-05,0.50948143,2.5597026,9598088
0%,Greedy,4.68E-05,0.5095182,2.3314192,1.52E+07
0%,Greedy,0.00329957,0.5104723,2.8455968,9521696
0%,Greedy,0.012128748,0.50752676,2.4992206,9660689
0%,Greedy,2.74E-04,0.5094448,2.3454025,9620104
0%,Greedy,1.48E-04,0.509457,2.4238558,9640310
0%,Greedy,9.98E-05,0.509457,2.6784585,2.10E+07
0%,Greedy,4.68E-05,0.5095182,2.4005275,9595799
0%,Greedy,9.31E-05,0.5094692,2.6336706,9621372
0%,Greedy,4.68E-05,0.5095182,2.4390686,9666013
0%,Greedy,0.011536071,0.5076252,2.4828167,9598287
0%,Greedy,7.59E-05,0.5095059,2.3279078,9515843
0%,Greedy,7.59E-05,0.5095059,2.3682947,9646709
0%,Greedy,4.68E-05,0.5095182,2.4254453,9628478
0%,Greedy,1.48E-04,0.509457,2.4828897,9671160
0%,Greedy,1.47E-04,0.50948143,2.338829,9642006
0%,Greedy,1.46E-04,0.5094692,2.4291105,9650766
0%,Greedy,6.07E-05,0.5094937,2.3620334,9733171
0%,Greedy,2.22E-04,0.5094448,2.501475,9561445
0%,Greedy,0.01945091,0.50615644,2.6816077,9719236
0%,Greedy,2.11E-06,0.5095059,2.5107677,9591803
0%,Greedy,4.68E-05,0.5095182,2.5140758,9632949
0%,Greedy,4.68E-05,0.5095182,2.4458935,9654291
0%,Greedy,1.51E-04,0.5094448,2.6485066,9539097
0%,Greedy,1.47E-04,0.50948143,2.333023,9598287
0%,Greedy,0.017610358,0.50662863,2.4163196,9696906
0%,Greedy,4.68E-05,0.5095182,2.407164,9658416
0%,Greedy,6.07E-05,0.5094937,2.3770301,1.04E+07
0%,Greedy,1.61E-04,0.5094204,2.415468,9623988
0%,Greedy,2.74E-04,0.5094448,2.5521703,9577075
0%,Greedy,6.07E-05,0.5094937,2.3718934,9676466
0%,Greedy,2.75E-05,0.5094448,2.762721,9718467
0%,Greedy,8.66E-05,0.50948143,2.5525513,9601616
0%,Greedy,1.82E-04,0.509457,2.37181,9597491
0%,Greedy,0.020000087,0.5062455,2.6701944,9657971
0%,Greedy,1.12E-04,0.50948143,2.3970408,9657137
0%,Greedy,0.012456829,0.50747234,2.4595475,9619143
0%,Greedy,2.63E-04,0.5094326,2.527247,9546986
0%,Greedy,2.74E-04,0.5094448,2.3964171,1.84E+07
0%,Greedy,7.59E-05,0.5095059,2.4886575,9609828
0%,Greedy,7.59E-05,0.5095059,2.3378358,9631757
0%,Greedy,7.59E-05,0.5095059,2.5428247,9597193
0%,Greedy,4.68E-05,0.5095182,2.4201293,9701780
0%,Greedy,1.99E-04,0.50948143,2.5100272,9656574
0%,Greedy,7.59E-05,0.5095059,2.4495025,9633571
0%,Greedy,1.47E-04,0.50948143,2.3357646,9644103
0%,Greedy,5.36E-05,0.5095059,2.340464,9654494
0%,Greedy,7.31E-05,0.5095182,2.5971143,9578198
0%,Greedy,1.46E-04,0.5094692,2.408154,9604421
0%,Greedy,4.68E-05,0.5095182,2.485981,9610679
0%,Greedy,4.68E-05,0.5095182,2.3843362,9602812
0%,Greedy,8.09E-05,0.5094937,2.3417563,9594514
0%,Greedy,2.22E-04,0.5094448,2.4949832,9568504
0%,Greedy,4.68E-05,0.5095182,2.3956335,9657212
0%,Greedy,7.59E-05,0.5095059,2.4162426,9638845
0%,Greedy,6.80E-05,0.50948143,2.5605934,9636717
0%,Greedy,1.48E-04,0.509457,2.439278,9721767
0%,Greedy,1.47E-04,0.50948143,2.3867939,9651605
0%,Greedy,2.32E-05,0.5095304,2.4912457,9621161
0%,Greedy,7.59E-05,0.5095059,2.4903803,9651897
0%,Greedy,2.74E-04,0.5094448,2.374709,9638068
0%,Greedy,0.010476464,0.5078018,2.43821,9561934
0%,Greedy,3.21E-04,0.50943255,2.50596,1.77E+07
0%,Greedy,1.10E-04,0.50949365,2.3717222,9529971
0%,Greedy,1.47E-04,0.50948143,2.3202438,9764026
0%,Greedy,4.01E-05,0.5094692,2.5671458,9612665
0%,Matching,0.013631846,0.50727814,2.4681544,8.61E+07
0%,Matching,6.07E-05,0.5094937,2.3675506,5.04E+07
0%,Matching,4.68E-05,0.5095182,2.4794447,2.63E+07
0%,Matching,1.47E-04,0.50948143,2.3404357,1.35E+07
0%,Matching,4.68E-05,0.5095182,2.4204702,2.34E+07
0%,Matching,0.002871594,0.5103569,2.603307,1.24E+07
0%,Matching,4.68E-05,0.5095182,2.493714,9985264
0%,Matching,1.87E-04,0.5094692,2.3925426,9779344
0%,Matching,2.30E-04,0.509457,2.406579,9814075
0%,Matching,8.09E-05,0.5094937,2.3367527,1.07E+07
0%,Matching,9.31E-05,0.5094692,2.4340606,9841164
0%,Matching,7.59E-05,0.5095059,2.469416,1.01E+07
0%,Matching,4.68E-05,0.5095182,2.5120096,9971371
0%,Matching,2.30E-04,0.509457,2.3914804,9845022
0%,Matching,7.59E-05,0.5095059,2.4765337,9870038
0%,Matching,6.07E-05,0.5094937,2.473437,9962724
0%,Matching,1.87E-04,0.5094692,2.342053,1.00E+07
0%,Matching,1.16E-04,0.5094692,2.4775324,9814746
0%,Matching,4.68E-05,0.5095182,2.526819,1.03E+07
0%,Matching,1.46E-04,0.5094692,2.4112816,9956976
0%,Matching,1.12E-04,0.50948143,2.335888,9831314
0%,Matching,1.47E-04,0.50948143,2.3793628,9829877
0%,Matching,4.68E-05,0.5095182,2.3740635,9979056
0%,Matching,1.12E-04,0.50948143,2.3571262,9733743
0%,Matching,2.32E-05,0.5095304,2.455062,9848882
0%,Matching,1.46E-04,0.5094692,2.581288,9970722
0%,Matching,1.12E-04,0.50948143,2.3438454,1.00E+07
0%,Matching,4.68E-05,0.5095182,2.3898509,9777241
0%,Matching,7.59E-05,0.5095059,2.3534472,9870204
0%,Matching,1.47E-04,0.50948143,2.5456953,9869590
0%,Matching,4.68E-05,0.5095182,2.4695005,9770293
0%,Matching,1.99E-04,0.50948143,2.5100272,9884037
0%,Matching,2.74E-04,0.5094448,2.5521703,9789720
0%,Matching,0.010542987,0.5077906,2.4389799,9837512
0%,Matching,1.54E-05,0.50948143,2.5597026,9850561
0%,Matching,4.68E-05,0.5095182,2.3314192,1.05E+07
0%,Matching,0.00329957,0.5104723,2.8455968,9856354
0%,Matching,0.012128748,0.50752676,2.4992206,9852439
0%,Matching,2.74E-04,0.5094448,2.3454025,9834526
0%,Matching,1.48E-04,0.509457,2.4238558,9853996
0%,Matching,9.98E-05,0.509457,2.6784585,1.01E+07
0%,Matching,4.68E-05,0.5095182,2.4005275,9864011
0%,Matching,9.31E-05,0.5094692,2.6336706,9825354
0%,Matching,4.68E-05,0.5095182,2.4390686,1.00E+07
0%,Matching,0.011536071,0.5076252,2.4828167,9770004
0%,Matching,7.59E-05,0.5095059,2.3279078,9837431
0%,Matching,7.59E-05,0.5095059,2.3682947,9766907
0%,Matching,4.68E-05,0.5095182,2.4254453,9809816
0%,Matching,1.48E-04,0.509457,2.4828897,9822216
0%,Matching,1.47E-04,0.50948143,2.338829,9822228
0%,Matching,1.46E-04,0.5094692,2.4291105,9820893
0%,Matching,6.07E-05,0.5094937,2.3620334,9800534
0%,Matching,2.22E-04,0.5094448,2.501475,9776106
0%,Matching,0.01945091,0.50615644,2.6816077,9886211
0%,Matching,2.11E-06,0.5095059,2.5107677,9929417
0%,Matching,4.68E-05,0.5095182,2.5140758,9829159
0%,Matching,4.68E-05,0.5095182,2.4458935,1.35E+07
0%,Matching,1.51E-04,0.5094448,2.6485066,9772378
0%,Matching,1.47E-04,0.50948143,2.333023,9922180
0%,Matching,0.017610358,0.50662863,2.4163196,9795673
0%,Matching,4.68E-05,0.5095182,2.407164,9841523
0%,Matching,6.07E-05,0.5094937,2.3770301,2.05E+07
0%,Matching,1.61E-04,0.5094204,2.415468,9881220
0%,Matching,2.74E-04,0.5094448,2.5521703,9773907
0%,Matching,6.07E-05,0.5094937,2.3718934,9840413
0%,Matching,2.75E-05,0.5094448,2.762721,1.17E+07
0%,Matching,8.66E-05,0.50948143,2.5525513,9828682
0%,Matching,1.82E-04,0.509457,2.37181,9768328
0%,Matching,0.020000087,0.5062455,2.6701944,9862641
0%,Matching,1.12E-04,0.50948143,2.3970408,9860495
0%,Matching,0.012456829,0.50747234,2.4595475,9865534
0%,Matching,2.63E-04,0.5094326,2.527247,9836873
0%,Matching,2.74E-04,0.5094448,2.3964171,9973237
0%,Matching,7.59E-05,0.5095059,2.4886575,9854283
0%,Matching,7.59E-05,0.5095059,2.3378358,9764902
0%,Matching,7.59E-05,0.5095059,2.5428247,9842694
0%,Matching,4.68E-05,0.5095182,2.4201293,9816883
0%,Matching,1.99E-04,0.50948143,2.5100272,9835491
0%,Matching,7.59E-05,0.5095059,2.4495025,9810764
0%,Matching,1.47E-04,0.50948143,2.3357646,9816170
0%,Matching,5.36E-05,0.5095059,2.340464,9836501
0%,Matching,7.31E-05,0.5095182,2.5971143,1.30E+07
0%,Matching,1.46E-04,0.5094692,2.408154,9841672
0%,Matching,4.68E-05,0.5095182,2.485981,9799406
0%,Matching,4.68E-05,0.5095182,2.3843362,9830787
0%,Matching,8.09E-05,0.5094937,2.3417563,9792883
0%,Matching,2.22E-04,0.5094448,2.4949832,9970736
0%,Matching,4.68E-05,0.5095182,2.3956335,1.01E+07
0%,Matching,7.59E-05,0.5095059,2.4162426,1.57E+07
0%,Matching,6.80E-05,0.50948143,2.5605934,1.00E+07
0%,Matching,1.48E-04,0.509457,2.439278,1.01E+07
0%,Matching,1.47E-04,0.50948143,2.3867939,9863536
0%,Matching,2.32E-05,0.5095304,2.4912457,9855988
0%,Matching,7.59E-05,0.5095059,2.4903803,9839593
0%,Matching,2.74E-04,0.5094448,2.374709,9958293
0%,Matching,0.010476464,0.5078018,2.43821,9850378
0%,Matching,3.21E-04,0.50943255,2.50596,9809109
0%,Matching,1.10E-04,0.50949365,2.3717222,1.01E+07
0%,Matching,1.47E-04,0.50948143,2.3202438,1.03E+07
0%,Matching,4.01E-05,0.5094692,2.5671458,9787650
0%,Alg.1,1.10E-04,0.50949365,2.3645182,2.34E+08
0%,Alg.1,0.004738342,0.5116203,2.6099734,1.09E+08
0%,Alg.1,2.63E-04,0.5094326,2.4962926,7.26E+07
0%,Alg.1,0.018771516,0.5062654,2.5769062,8.26E+07
0%,Alg.1,1.16E-04,0.5094692,2.3630075,9.40E+07
0%,Alg.1,6.07E-05,0.5094937,2.4043176,8.26E+07
0%,Alg.1,4.68E-05,0.5095182,2.4758315,4.27E+07
0%,Alg.1,4.97E-05,0.5094692,2.591278,4.17E+07
0%,Alg.1,4.68E-05,0.5095182,2.4448166,5.54E+07
0%,Alg.1,0.016274443,0.50684524,2.266684,5.49E+07
0%,Alg.1,7.59E-05,0.5095059,2.5215225,5.49E+07
0%,Alg.1,7.59E-05,0.5095059,2.443185,4.10E+07
0%,Alg.1,0.016082704,0.50687647,2.4877062,5.29E+07
0%,Alg.1,4.75E-05,0.509457,2.5709825,4.12E+07
0%,Alg.1,0.01621062,0.5068556,2.5732763,4.12E+07
0%,Alg.1,1.87E-04,0.5094692,2.352573,4.27E+07
0%,Alg.1,0.01492481,0.5140503,2.7136986,4.63E+07
0%,Alg.1,3.06E-04,0.5094204,2.536123,4.14E+07
0%,Alg.1,6.07E-05,0.5094937,2.4094005,5.11E+07
0%,Alg.1,2.30E-04,0.509457,2.4677682,4.10E+07
0%,Alg.1,0.010742221,0.5077574,2.4739087,4.35E+07
0%,Alg.1,0.00420832,0.51064,2.5171762,4.34E+07
0%,Alg.1,6.02E-05,0.5094204,2.3317008,4.54E+07
0%,Alg.1,1.47E-04,0.50948143,2.5087445,4.11E+07
0%,Alg.1,2.30E-04,0.509457,2.6152353,5.00E+07
0%,Alg.1,1.48E-04,0.509457,2.3789313,4.53E+07
0%,Alg.1,0.007213266,0.51066595,2.4617555,5.57E+07
0%,Alg.1,0.017483763,0.5066491,2.3125055,4.52E+07
0%,Alg.1,1.39E-04,0.5094204,2.663588,5.23E+07
0%,Alg.1,1.47E-04,0.50948143,2.547285,4.10E+07
0%,Alg.1,4.68E-05,0.5095182,2.4201293,4.10E+07
0%,Alg.1,0.012259968,0.507505,2.260049,4.11E+07
0%,Alg.1,4.68E-05,0.5095182,2.4938426,4.10E+07
0%,Alg.1,0.010476464,0.5078018,2.47416,4.10E+07
0%,Alg.1,1.12E-04,0.50948143,2.346702,4.53E+07
0%,Alg.1,2.32E-05,0.5095304,2.386937,4.51E+07
0%,Alg.1,4.68E-05,0.5095182,2.436335,4.31E+07
0%,Alg.1,1.10E-04,0.50949365,2.4232285,4.13E+07
0%,Alg.1,4.68E-05,0.5095182,2.4654422,4.31E+07
0%,Alg.1,1.16E-04,0.5094692,2.5532033,4.54E+07
0%,Alg.1,7.59E-05,0.5095059,2.5019703,6.96E+07
0%,Alg.1,7.59E-05,0.5095059,2.4376173,4.31E+07
0%,Alg.1,4.68E-05,0.5095182,2.461619,4.10E+07
0%,Alg.1,7.59E-05,0.5095059,2.4776144,4.32E+07
0%,Alg.1,7.59E-05,0.5095059,2.4802785,4.10E+07
0%,Alg.1,4.68E-05,0.5095182,2.4532013,4.09E+07
0%,Alg.1,5.36E-05,0.5095059,2.4669673,4.10E+07
0%,Alg.1,2.96E-04,0.5094082,2.65587,5.45E+07
0%,Alg.1,4.68E-05,0.5095182,2.482234,4.74E+07
0%,Alg.1,4.68E-05,0.5095182,2.4293866,4.12E+07
0%,Alg.1,1.51E-04,0.5094448,2.64151,4.10E+07
