Constraints(%),algorithm,NMI,RI,cost,runtime
0%,greedy,0.066176556,0.5936957,256.1562,2.42E+08
0%,greedy,0.03173303,0.5215818,266.95694,1.70E+08
0%,greedy,0.095721655,0.5067822,255,5.24E+07
0%,greedy,0.017447505,0.50013256,283.5507,5.54E+07
0%,greedy,0.011059423,0.6222077,255.09605,6.66E+07
0%,greedy,0.048899412,0.5030446,280.46213,5.40E+07
0%,greedy,0.3036274,0.60403526,287.26816,5.60E+07
0%,greedy,0.016983582,0.50043714,280.56015,5.55E+07
0%,greedy,0.014996683,0.61893344,255.15877,5.02E+07
0%,greedy,0.09428238,0.5067413,255,5.06E+07
0%,greedy,0.08113241,0.50305414,255,5.18E+07
0%,greedy,0.017336145,0.5005328,281.05695,2.70E+07
0%,greedy,0.043766476,0.54603964,262.50714,2.60E+07
0%,greedy,0.06399462,0.50652975,255,2.41E+07
0%,greedy,0.049189057,0.5610927,258.50726,2.55E+07
0%,greedy,0.020058729,0.6363923,242.42525,2.10E+07
0%,greedy,0.010105313,0.61908877,255.22343,2.15E+07
0%,greedy,0.061108697,0.5026274,280.2606,2.88E+07
0%,greedy,0.109893546,0.5128162,272.61877,2.35E+07
0%,greedy,0.031526014,0.52150387,266.95694,2.65E+07
0%,greedy,0.097348936,0.5070103,255,2.49E+07
0%,greedy,0.05338332,0.56871104,258.4976,2.53E+07
0%,greedy,0.097066015,0.50701994,255,2.46E+07
0%,greedy,0.051571332,0.5065709,255,2.43E+07
0%,greedy,0.029287182,0.62535065,255,2.15E+07
0%,greedy,0.010105313,0.61908877,255.22343,2.29E+07
0%,greedy,0.017701874,0.5002577,283.1148,2.69E+07
0%,greedy,0.022542296,0.6368574,246.92914,2.12E+07
0%,greedy,0.012239213,0.65353215,259.975,2.09E+07
0%,greedy,0.0176085,0.5000897,284.43277,2.68E+07
0%,greedy,0.022741513,0.5040862,271.38348,2.49E+07
0%,greedy,0.017738087,0.50013894,283.98062,2.67E+07
0%,greedy,0.005568407,0.6094003,256.12888,2.18E+07
0%,greedy,0.10042899,0.5204029,266.59708,2.33E+07
0%,greedy,0.112889566,0.50399446,256.14645,2.41E+07
0%,greedy,0.04826613,0.50665915,255,2.42E+07
0%,greedy,0.124138065,0.5048406,296.36127,2.59E+07
0%,greedy,0.018553715,0.5029229,274.2736,2.69E+07
0%,greedy,0.09505452,0.5066431,255,2.39E+07
0%,greedy,0.031526014,0.52150387,266.95694,2.67E+07
0%,greedy,0.036683995,0.53203934,264.10037,2.63E+07
0%,greedy,0.046115693,0.5060528,255,2.46E+07
0%,greedy,0.022323908,0.6083112,234.38857,2.36E+07
0%,greedy,0.007842681,0.61343384,255.6345,2.16E+07
0%,greedy,0.097066015,0.50701994,255,2.39E+07
