Constraints(%),algorithm,ACC,Purity,F-1,ARI,NMI,RI,cost,runtime
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,2.23E+09
0%,greedy,0.5860865,0.59696645,0.6119862,0.9975382,0.005566832,0.4593274,0.675569,1.62E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.55E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.53E+09
0%,greedy,0.5868336,0.5998495,0.6122891,0.99753535,0.011354472,0.4619466,0.67728275,1.56E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.52E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.56E+09
0%,greedy,0.5860093,0.5969682,0.61195135,0.9975377,0.005378705,0.45943376,0.64007324,1.57E+09
0%,greedy,0.5869581,0.59982324,0.61239403,0.99753654,0.011289476,0.46187234,0.67728275,1.52E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.56E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.54E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.56E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.55E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.52E+09
0%,greedy,0.5868283,0.5998513,0.61228085,0.9975353,0.011348655,0.4619392,0.67728275,1.55E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.55E+09
0%,greedy,0.5861409,0.5969682,0.6122443,0.9975412,0.005115501,0.4590585,0.6242309,1.54E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.55E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.52E+09
0%,greedy,0.5860076,0.5969682,0.6119499,0.9975376,0.005377272,0.45943308,0.64007324,1.56E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.54E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.51E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.54E+09
0%,greedy,0.5860935,0.59696645,0.61199164,0.99753827,0.005560916,0.45931774,0.675569,1.54E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.55E+09
0%,greedy,0.5869546,0.59982324,0.61238974,0.9975365,0.011282886,0.46186757,0.67728275,1.54E+09
