Constraints(%),algorithm,NMI,RI,cost,runtime
0%,greedy,0.40493733,0.62616646,400.18875,1843704
0%,greedy,0.42965725,0.65054274,342.16748,675529
0%,greedy,0.40493733,0.62616646,402.58118,662781
0%,greedy,0.41761333,0.67263377,286.01706,530925
0%,greedy,0.38774788,0.65435153,302.0498,533079
0%,greedy,0.3090128,0.5875071,445.6714,3014858
0%,greedy,0.41928962,0.6996128,310.54602,551487
0%,greedy,0.39133692,0.689456,324.64407,555881
0%,greedy,0.39133692,0.689456,325.0879,552645
0%,greedy,0.30381915,0.5771599,455.06177,545962
0%,greedy,0.4134157,0.70119977,436.06113,551480
0%,greedy,0.4037552,0.67142767,282.34677,542350
0%,greedy,0.43148112,0.6444487,352.10065,537637
0%,greedy,0.3245056,0.62826127,300.56958,571476
0%,greedy,0.413806,0.7001841,458.1332,611614
0%,greedy,0.4134157,0.70119977,436.20465,547547
0%,greedy,0.4125092,0.69834316,310.2361,560275
0%,greedy,0.29351005,0.59880656,420.0017,543064
0%,greedy,0.43854138,0.7016441,445.6714,570028
0%,greedy,0.37722188,0.6856472,330.15604,554662
0%,greedy,0.29351005,0.59880656,420.0017,545906
0%,greedy,0.3381653,0.6551768,375.25204,558166
0%,greedy,0.39760706,0.678347,280.06003,545716
0%,greedy,0.30685657,0.6019171,445.6714,542906
0%,greedy,0.40493733,0.62616646,402.58118,542223
0%,greedy,0.37540296,0.6568273,360.5176,571352
0%,greedy,0.40493733,0.62616646,402.58118,542665
0%,greedy,0.42367083,0.62915,458.1332,537205
0%,greedy,0.41860217,0.6885673,395.2833,569294
0%,greedy,0.39760706,0.678347,280.06003,545981
0%,greedy,0.4134157,0.70119977,436.20465,553324
0%,greedy,0.3090964,0.5924586,447.0844,536034
0%,greedy,0.29704565,0.606805,415.25095,541059
0%,greedy,0.33230898,0.6517489,347.06342,556535
0%,greedy,0.30685657,0.6019171,445.6714,544419
0%,greedy,0.33816534,0.6551768,338.09506,552331
0%,greedy,0.39760706,0.678347,287.6908,547592
0%,greedy,0.33230898,0.6517489,353.85083,542538
0%,greedy,0.43148112,0.6444487,362.44635,538431
0%,greedy,0.4023339,0.6634292,292.73538,540204
0%,greedy,0.3381653,0.6551768,375.23828,542326
0%,greedy,0.3754484,0.6763791,336.21985,552488
0%,greedy,0.2986971,0.6263569,351.20166,543092
0%,greedy,0.39760706,0.678347,280.06003,538289
0%,greedy,0.41761333,0.67263377,284.80078,540793
0%,greedy,0.41860217,0.6885673,400.2329,566658
0%,greedy,0.3921765,0.69104296,417.86618,631867
0%,greedy,0.41928962,0.6996128,310.54602,541598
0%,greedy,0.40493733,0.62616646,402.38074,536628
0%,greedy,0.39133692,0.689456,325.0879,543355
0%,greedy,0.43724883,0.7090078,455.11984,532440
0%,greedy,0.40493733,0.62616646,402.0166,532285
0%,greedy,0.4046419,0.65543073,312.42514,538889
0%,greedy,0.33230898,0.6517489,353.85083,552276
0%,greedy,0.3381653,0.6551768,375.25204,545916
0%,greedy,0.39760706,0.678347,295.09033,531770
0%,greedy,0.33230898,0.6517489,353.85083,563418
0%,greedy,0.31817156,0.62616646,309.15234,571949
0%,greedy,0.33387753,0.65276456,365.15192,545601
0%,greedy,0.41860217,0.6885673,395.2833,571042
0%,greedy,0.31817156,0.62616646,309.15234,571903
0%,greedy,0.3090964,0.5924586,447.0844,543181
0%,greedy,0.43148112,0.6444487,352.10065,547783
